[2023-03-15 07:36:48] local.INFO: Customers Import Logs =>  {"imported":10000,"notimported":0} 
[2023-03-15 07:36:50] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:36:51] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:36:51] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:36:51] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:36:52] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:36:52] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:36:52] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:36:53] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:36:53] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:36:53] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:36:53] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:36:54] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:36:54] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:36:54] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:36:55] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:36:55] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:36:55] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:36:55] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:36:55] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:36:56] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:36:56] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:36:57] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:36:57] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:36:58] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:36:58] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:36:59] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:36:59] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:36:59] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:36:59] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:36:59] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:37:00] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:37:00] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:37:00] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:37:01] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:37:01] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:37:02] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:37:02] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:37:02] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:37:02] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:37:03] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:37:03] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:37:03] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:37:03] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:37:03] local.INFO: Customers Imported =>  {"total":"successful"} 
[2023-03-15 07:37:03] local.INFO: Customers Imported =>  {"total":"successful"} 
